timestamp, db size, shm size, wal size, tmp dir size, note
2021-03-14 18:01:53.546867, 0, 0, 0, 0,
2021-03-14 18:01:53.813943, 4096, 0, 0, 0,
2021-03-14 18:01:54.016062, 4096, 32768, 12392, 0,
2021-03-14 18:01:54.217973, 4096, 32768, 12392, 0,
2021-03-14 18:01:54.419712, 4096, 32768, 12392, 0,
2021-03-14 18:01:54.621950, 4096, 32768, 12392, 0,
2021-03-14 18:01:54.824163, 4096, 32768, 12392, 0,
2021-03-14 18:01:55.026321, 4096, 32768, 12392, 0,
2021-03-14 18:01:55.228492, 4096, 32768, 12392, 0,
2021-03-14 18:01:55.430193, 4096, 32768, 12392, 0,
2021-03-14 18:01:55.631682, 4096, 32768, 12392, 0,
2021-03-14 18:01:55.833976, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.036157, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.238302, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.439335, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.640948, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.842934, 4096, 32768, 12392, 0,
2021-03-14 18:01:56.967318,,,,,Writing 100 rows
2021-03-14 18:01:57.045020, 4096, 32768, 12392, 0,
2021-03-14 18:01:57.246972, 4096, 32768, 12392, 0,
2021-03-14 18:01:57.514961, 4096, 32768, 1030032, 0,
2021-03-14 18:01:57.732372, 4096, 32768, 3077696, 0,
2021-03-14 18:01:57.934362, 77824, 32768, 5117072, 0,
2021-03-14 18:01:58.172557, 5025792, 32768, 5117072, 0,
2021-03-14 18:01:58.411803, 5025792, 32768, 5117072, 0,
2021-03-14 18:01:58.613038, 9117696, 32768, 5117072, 0,
2021-03-14 18:01:58.814016, 10035200, 32768, 5117072, 0,
2021-03-14 18:01:59.039335, 10035200, 32768, 5117072, 0,
2021-03-14 18:01:59.240472, 13262848, 32768, 5117072, 0,
2021-03-14 18:01:59.459458, 15052800, 32768, 5117072, 0,
2021-03-14 18:01:59.708767, 15052800, 32768, 5117072, 0,
2021-03-14 18:01:59.909714, 19787776, 32768, 5117072, 0,
2021-03-14 18:02:00.110637, 20062208, 32768, 5117072, 0,
2021-03-14 18:02:00.325969, 20062208, 32768, 5117072, 0,
2021-03-14 18:02:00.526936, 24629248, 32768, 5117072, 0,
2021-03-14 18:02:00.729132, 25079808, 32768, 5117072, 0,
2021-03-14 18:02:00.973135, 25079808, 32768, 5117072, 0,
2021-03-14 18:02:01.174057, 29405184, 32768, 5117072, 0,
2021-03-14 18:02:01.375500, 30089216, 32768, 5117072, 0,
2021-03-14 18:02:01.623546, 30089216, 32768, 5117072, 0,
2021-03-14 18:02:01.824617, 33390592, 32768, 5117072, 0,
2021-03-14 18:02:02.026334, 35106816, 32768, 5117072, 0,
2021-03-14 18:02:02.261400, 35106816, 32768, 5117072, 0,
2021-03-14 18:02:02.477905, 35115008, 32768, 5117072, 0,
2021-03-14 18:02:02.721362, 40116224, 32768, 5117072, 0,
