timestamp, db size, shm size, wal size, tmp dir size, note
2021-03-14 18:27:13.328565, 0, 0, 0, 0,
2021-03-14 18:27:13.602592, 4096, 0, 0, 0,
2021-03-14 18:27:13.856613, 4096, 0, 0, 0,
2021-03-14 18:27:14.059015, 4096, 32768, 12392, 0,
2021-03-14 18:27:14.261102, 4096, 32768, 12392, 0,
2021-03-14 18:27:14.462043, 4096, 32768, 12392, 0,
2021-03-14 18:27:14.663999, 4096, 32768, 12392, 0,
2021-03-14 18:27:14.866216, 4096, 32768, 12392, 0,
2021-03-14 18:27:15.068312, 4096, 32768, 12392, 0,
2021-03-14 18:27:15.270475, 4096, 32768, 12392, 0,
2021-03-14 18:27:15.472729, 4096, 32768, 12392, 0,
2021-03-14 18:27:15.675046, 4096, 32768, 12392, 0,
2021-03-14 18:27:15.877322, 4096, 32768, 12392, 0,
2021-03-14 18:27:16.079346, 4096, 32768, 12392, 0,
2021-03-14 18:27:16.281554, 4096, 32768, 12392, 0,
2021-03-14 18:27:16.483786, 4096, 32768, 12392, 0,
2021-03-14 18:27:16.686069, 4096, 32768, 12392, 0,
2021-03-14 18:27:16.888420, 4096, 32768, 12392, 0,
2021-03-14 18:27:17.042778,,,,,Writing 100 rows
2021-03-14 18:27:17.090773, 4096, 32768, 12392, 0,
2021-03-14 18:27:17.293002, 4096, 32768, 12392, 0,
2021-03-14 18:27:17.584362, 4096, 32768, 1030032, 0,
2021-03-14 18:27:17.802343, 4096, 32768, 3076096, 0,
2021-03-14 18:27:18.068324, 8192, 32768, 5117072, 0,
2021-03-14 18:27:18.333081, 5025792, 32768, 5117072, 0,
2021-03-14 18:27:18.534049, 5025792, 32768, 5117072, 0,
2021-03-14 18:27:18.735109, 5025792, 32768, 5117072, 0,
2021-03-14 18:27:19.114913, 10035200, 32768, 5117072, 0,
2021-03-14 18:27:19.316258, 10035200, 32768, 5117072, 0,
2021-03-14 18:27:19.586372, 10035200, 32768, 5117072, 0,
2021-03-14 18:27:19.832112, 15052800, 32768, 5117072, 0,
2021-03-14 18:27:20.034143, 15052800, 32768, 5117072, 0,
2021-03-14 18:27:20.235041, 15052800, 32768, 5117072, 0,
2021-03-14 18:27:20.600259, 20062208, 32768, 5117072, 0,
2021-03-14 18:27:20.801257, 20062208, 32768, 5117072, 0,
2021-03-14 18:27:21.084258, 20066304, 32768, 5117072, 0,
2021-03-14 18:27:21.328899, 25079808, 32768, 5117072, 0,
2021-03-14 18:27:21.540136, 25079808, 32768, 5117072, 0,
2021-03-14 18:27:21.810836, 25079808, 32768, 5117072, 0,
2021-03-14 18:27:22.075559, 30089216, 32768, 5117072, 0,
2021-03-14 18:27:22.276592, 30089216, 32768, 5117072, 0,
2021-03-14 18:27:22.477755, 30089216, 32768, 5117072, 0,
2021-03-14 18:27:22.814655, 35106816, 32768, 5117072, 0,
2021-03-14 18:27:23.016316, 35106816, 32768, 5117072, 0,
2021-03-14 18:27:23.274241, 35106816, 32768, 5117072, 0,
2021-03-14 18:27:23.585310, 40116224, 32768, 5117072, 0,
2021-03-14 18:27:23.786334, 40116224, 32768, 5117072, 0,
2021-03-14 18:27:24.002670, 40116224, 32768, 5117072, 0,
