timestamp, db size, shm size, wal size, tmp dir size, note
2021-03-14 18:31:13.843190, 0, 0, 0, 0,
2021-03-14 18:31:14.122721, 4096, 0, 0, 0,
2021-03-14 18:31:14.337938, 4096, 32768, 0, 0,
2021-03-14 18:31:14.540070, 4096, 32768, 12392, 0,
2021-03-14 18:31:14.741988, 4096, 32768, 12392, 0,
2021-03-14 18:31:14.943873, 4096, 32768, 12392, 0,
2021-03-14 18:31:15.145946, 4096, 32768, 12392, 0,
2021-03-14 18:31:15.347952, 4096, 32768, 12392, 0,
2021-03-14 18:31:15.549889, 4096, 32768, 12392, 0,
2021-03-14 18:31:15.751847, 4096, 32768, 12392, 0,
2021-03-14 18:31:15.953693, 4096, 32768, 12392, 0,
2021-03-14 18:31:16.155698, 4096, 32768, 12392, 0,
2021-03-14 18:31:16.357779, 4096, 32768, 12392, 0,
2021-03-14 18:31:16.559709, 4096, 32768, 12392, 0,
2021-03-14 18:31:16.761574, 4096, 32768, 12392, 0,
2021-03-14 18:31:16.963345, 4096, 32768, 12392, 0,
2021-03-14 18:31:17.165153, 4096, 32768, 12392, 0,
2021-03-14 18:31:17.367154, 4096, 32768, 12392, 0,
2021-03-14 18:31:17.485283,,,,,wal_autocheckpoint(0)
2021-03-14 18:31:17.569257, 4096, 32768, 12392, 0,
2021-03-14 18:31:17.771195, 4096, 32768, 12392, 0,
2021-03-14 18:31:17.973225, 4096, 32768, 12392, 0,
2021-03-14 18:31:18.175279, 4096, 32768, 12392, 0,
2021-03-14 18:31:18.377302, 4096, 32768, 12392, 0,
2021-03-14 18:31:18.579483, 4096, 32768, 12392, 0,
2021-03-14 18:31:18.781135, 4096, 32768, 12392, 0,
2021-03-14 18:31:18.983506, 4096, 32768, 12392, 0,
2021-03-14 18:31:19.185799, 4096, 32768, 12392, 0,
2021-03-14 18:31:19.388048, 4096, 32768, 12392, 0,
2021-03-14 18:31:19.590252, 4096, 32768, 12392, 0,
2021-03-14 18:31:19.792464, 4096, 32768, 12392, 0,
2021-03-14 18:31:19.994856, 4096, 32768, 12392, 0,
2021-03-14 18:31:20.197188, 4096, 32768, 12392, 0,
2021-03-14 18:31:20.398973, 4096, 32768, 12392, 0,
2021-03-14 18:31:20.601247, 4096, 32768, 12392, 0,
2021-03-14 18:31:20.803457, 4096, 32768, 12392, 0,
2021-03-14 18:31:20.889279,,,,,Writing 100 rows
2021-03-14 18:31:21.006056, 4096, 32768, 12392, 0,
2021-03-14 18:31:21.208375, 4096, 32768, 12392, 0,
2021-03-14 18:31:21.474228, 4096, 32768, 1030032, 0,
2021-03-14 18:31:21.695749, 4096, 32768, 3073576, 0,
2021-03-14 18:31:21.906940, 4096, 32768, 5117096, 0,
2021-03-14 18:31:22.129035, 4096, 32768, 7164736, 0,
2021-03-14 18:31:22.350807, 4096, 32768, 9204136, 0,
2021-03-14 18:31:22.569091, 4096, 32768, 11247632, 0,
2021-03-14 18:31:22.802003, 4096, 32768, 13282936, 0,
2021-03-14 18:31:23.023637, 4096, 32768, 15331328, 0,
2021-03-14 18:31:23.251281, 4096, 65536, 17369952, 0,
2021-03-14 18:31:23.467852, 4096, 65536, 19413472, 0,
2021-03-14 18:31:23.700015, 4096, 65536, 21461112, 0,
2021-03-14 18:31:23.997755, 4096, 65536, 23498752, 0,
2021-03-14 18:31:24.217069, 4096, 65536, 25542656, 0,
2021-03-14 18:31:24.439242, 4096, 65536, 27579312, 0,
2021-03-14 18:31:24.661225, 4096, 65536, 29622856, 0,
2021-03-14 18:31:24.862856, 4096, 65536, 31744656, 0,
2021-03-14 18:31:25.070371, 4096, 77824, 33701632, 0,
2021-03-14 18:31:25.302936, 4096, 98304, 35749272, 0,
2021-03-14 18:31:25.512025, 4096, 98304, 37789696, 0,
2021-03-14 18:31:25.745017, 4096, 98304, 39828096, 0,
2021-03-14 18:31:25.979737, 4096, 98304, 41879832, 0,
2021-03-14 18:31:26.198618, 4096, 98304, 43919232, 0,
2021-03-14 18:31:26.433041, 4096, 98304, 45969408, 0,
2021-03-14 18:31:26.676131, 4096, 98304, 47998032, 0,
2021-03-14 18:31:26.877301, 4096, 98304, 50106368, 0,
2021-03-14 18:31:27.140712, 4096, 131072, 52089192, 0,
2021-03-14 18:31:27.385188, 4096, 131072, 54120352, 0,
2021-03-14 18:31:27.604906, 4096, 131072, 56167992, 0,
2021-03-14 18:31:27.860845, 4096, 131072, 58211536, 0,
2021-03-14 18:31:28.071587, 4096, 131072, 60255056, 0,
2021-03-14 18:31:28.273294, 4096, 131072, 62343896, 0,
2021-03-14 18:31:28.480563, 4096, 131072, 64329712, 0,
2021-03-14 18:31:28.714583, 4096, 131072, 66379776, 0,
2021-03-14 18:31:28.944804, 4096, 163840, 68420896, 0,
2021-03-14 18:31:29.155701, 4096, 163840, 70459392, 0,
2021-03-14 18:31:29.379075, 4096, 163840, 72507912, 0,
2021-03-14 18:31:29.601054, 4096, 163840, 74543216, 0,
2021-03-14 18:31:29.820761, 4096, 163840, 76582912, 0,
2021-03-14 18:31:30.053591, 4096, 163840, 78622016, 0,
2021-03-14 18:31:30.286435, 4096, 163840, 80673752, 0,
2021-03-14 18:31:30.495747, 4096, 163840, 82709056, 0,
2021-03-14 18:31:30.708362, 4096, 192512, 84748432, 0,
2021-03-14 18:31:30.928419, 4096, 196608, 86791952, 0,
2021-03-14 18:31:31.137653, 4096, 196608, 88835472, 0,
2021-03-14 18:31:31.339892, 4096, 196608, 90895496, 0,
2021-03-14 18:31:31.551022, 4096, 196608, 92922536, 0,
2021-03-14 18:31:31.752187, 4096, 196608, 95011352, 0,
2021-03-14 18:31:31.960194, 4096, 196608, 97001312, 0,
2021-03-14 18:31:32.182174, 4096, 196608, 99048976, 0,
2021-03-14 18:31:32.404344, 4096, 196608, 101088376, 0,
2021-03-14 18:31:32.606709, 4096, 229376, 102101872, 0,
2021-03-14 18:31:32.808698, 4096, 229376, 102101872, 0,
2021-03-14 18:31:33.010827, 4096, 229376, 102101872, 0,
2021-03-14 18:31:33.213058, 4096, 229376, 102101872, 0,
2021-03-14 18:31:33.415332, 4096, 229376, 102101872, 0,
2021-03-14 18:31:33.617615, 4096, 229376, 102101872, 0,
2021-03-14 18:31:33.819845, 4096, 229376, 102101872, 0,
2021-03-14 18:31:34.022063, 4096, 229376, 102101872, 0,
2021-03-14 18:31:34.224416, 4096, 229376, 102101872, 0,
2021-03-14 18:31:34.426392, 4096, 229376, 102101872, 0,
2021-03-14 18:31:34.628403, 4096, 229376, 102101872, 0,
2021-03-14 18:31:34.830309, 4096, 229376, 102101872, 0,
2021-03-14 18:31:35.032262, 4096, 229376, 102101872, 0,
2021-03-14 18:31:35.234322, 4096, 229376, 102101872, 0,
2021-03-14 18:31:35.436421, 4096, 229376, 102101872, 0,
2021-03-14 18:31:35.512399,,,,,Pages Used:24482 Free:0
2021-03-14 18:31:35.638533, 4096, 229376, 102101872, 0,
2021-03-14 18:31:35.840474, 4096, 229376, 102101872, 0,
2021-03-14 18:31:36.042388, 4096, 229376, 102101872, 0,
2021-03-14 18:31:36.244595, 4096, 229376, 102101872, 0,
2021-03-14 18:31:36.446588, 4096, 229376, 102101872, 0,
2021-03-14 18:31:36.648894, 4096, 229376, 102101872, 0,
2021-03-14 18:31:36.851091, 4096, 229376, 102101872, 0,
2021-03-14 18:31:37.052996, 4096, 229376, 102101872, 0,
2021-03-14 18:31:37.255032, 4096, 229376, 102101872, 0,
2021-03-14 18:31:37.456402, 4096, 229376, 102101872, 0,
2021-03-14 18:31:37.658391, 4096, 229376, 102101872, 0,
2021-03-14 18:31:37.860354, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.062265, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.264229, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.468011, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.670242, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.872578, 4096, 229376, 102101872, 0,
2021-03-14 18:31:38.916319,,,,,Checkpoint (passive)
2021-03-14 18:31:39.074480, 4096, 229376, 102101872, 0,
2021-03-14 18:31:39.276550, 4096, 229376, 102101872, 0,
2021-03-14 18:31:39.477864, 4820992, 229376, 102101872, 0,
2021-03-14 18:31:39.679304, 21274624, 229376, 102101872, 0,
2021-03-14 18:31:39.880238, 36536320, 229376, 102101872, 0,
2021-03-14 18:31:40.080936, 52113408, 229376, 102101872, 0,
2021-03-14 18:31:40.281844, 68546560, 229376, 102101872, 0,
2021-03-14 18:31:40.482866, 84942848, 229376, 102101872, 0,
2021-03-14 18:31:41.882501, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:42.084697, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:42.286870, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:42.489042, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:42.690999, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:42.893193, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:43.095133, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:43.297106, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:43.499059, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:43.701082, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:43.903292, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:44.105257, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:44.307201, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:44.509270, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:44.711235, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:44.884024,,,,,WAL to DB: 24782
2021-03-14 18:31:44.913509, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:45.115409, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:45.317626, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:45.519795, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:45.721914, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:45.924379, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:46.126540, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:46.328662, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:46.530825, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:46.732942, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:46.935417, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:47.137596, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:47.339747, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:47.541900, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:47.744099, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:47.946574, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:48.148663, 100278272, 229376, 102101872, 0,
2021-03-14 18:31:48.287519,,,,,Checkpoint (truncate)
